"問題文","選択肢1","選択肢2","選択肢3","選択肢4","選択肢5","正解","科目分類"
"77 歳の男性。上下顎全部床義歯の試適時に｢パ｣行音と｢マ｣行音とが発音しにくいという。維持は良好である。旧義歯では発音不良を認めなかった。試適時の写真を示す。対応として正しいのはどれか。1つ選べ。[106D4-ori]","咬合平面を下げる。","咬合高径を低くする。","小臼歯を頰側へ排列する。","前歯部人工歯幅径を大きくする。","上顎前歯部床研磨面形態を修正する。","e","全部床義歯学"
"9歳の女児。口腔内の精査を希望して来院した。初診時の口腔内写真(Ａ)とエックス線写真(Ｂ)とを示す。 認められる所見はどれか。2つ選べ。[106D5-ori]","過剰歯","癒合歯","低位乳歯","タウロドント","歯の萌出遅延","12","小児歯科学"
"55 歳の男性。右側顔面の疼痛を主訴として来院した。10 日前から違和感を自覚するようになり、次第に増悪してきたという。初診時の顔貌写真(Ａ)、舌の写真(Ｂ)及び口腔内写真(Ｃ)を示す。 この疾患の治療薬と使用目的との組合せで正しいのはどれか。2つ選べ。[106D6-ori]","アシクロビル ー 細菌増殖の抑制","ピシバニール ー 免疫活性化","アセトアミノフェン ー 鎮 痛","ドセタキセル水和物 ー 細胞増殖の抑制","バラシクロビル塩酸塩 ー ウイルス増殖の抑制","35","口腔外科学"
"36 歳の男性。下顎右側第一大臼歯欠損をブリッジで修復することとした。試適前と試適後に行った操作の写真(Ａ、Ｂ)を示す。 次に行うのはどれか。1つ選べ。[106D7-ori]","支台装置の研磨","フラックスの塗布","ろう付け間隙の調整","支台装置内面の調整","ろう付け用埋没材による埋没","e","冠橋義歯学"
"4歳の男児。食物が噛み切れないことを主訴として来院した。初診時の口腔内写真(Ａ)とエックス線写真(Ｂ)とを示す。 適切な対応はどれか。1つ選べ。[106D8-ori]","経過観察","摂食指導","ブリッジ装着","可撤保隙装置装着","Nance のホールディングアーチ装着","d","小児歯科学"
"5歳の女児。下顎右側第二乳臼歯の冷水痛を主訴として来院した。1か月前から気付いていたが放置していたという。打診痛はなく、電気抵抗値は15kΩである。初診時の口腔内写真（A）とエックス線写真（B）とを示す。 適切な処置はどれか。1つ選べ。[106D9-ori]","間接覆髄法","生活歯髄切断法","抜髄法","感染根管治療","抜 歯","b","小児歯科学"
"66 歳の男性。10 日前に装着した義歯で硬い食物を噛むと右側臼歯部粘膜が痛いという。口腔内写真を示す。まず行うべき処置はどれか。2つ選べ。[106D10-ori]","リベース","咬合調整","義歯床後縁の切除","フラビーガムの切除","右側義歯床縁の調整","25","全部床義歯学"
"43 歳の女性。下顎左側第一大臼歯の抜去のため局所麻酔を行ったところ、直後に胸痛と呼吸困難とを訴えた。血圧と脈拍は正常範囲内であった。静脈路を確保したときの手の写真を示す。 このときの病態で正しいのはどれか。2つ選べ。[106D11-ori]","脳血流量の増加","動脈血 pH の低下","細胞内カリウム濃度の上昇","血清カルシウム濃度の低下","動脈血二酸化炭素分圧の低下","45","歯科麻酔学"
"8歳の男児。歯並びが気になることを主訴として来院した。5歳まで吸指癖が続いていたが、その後消失したという。骨格性の異常を認めない。初診時の口腔内写真を示す。適切な装置はどれか。1つ選べ。[106D12-ori]","咬合挙上板","タングクリブ","ナイトガード","アクチバトール","リップバンパー","b","歯科矯正学"
"67歳の女性。右側顎関節部の開口時痛を主訴として来院した。2年前から自覚していたが、痛みが弱いため放置していたという。初診時のエックス線写真（A）、CT（B）及びMRI（C）を示す。 最も疑われるのはどれか。1つ選べ。[106D13-ori]","骨 腫","下顎頭肥大","関節突起骨折","変形性顎関節症","関節突起発育不全","d","歯科放射線学"
"11歳の女児。定期健診のため来院した。上顎左側第一小臼歯に齲蝕予防処置を行うこととした。処置過程の口腔内写真(A、B、C、D、E)を示す。 写真Bの処置の目的はどれか。1つ選べ。[106D14-ori]","有機質の溶解","歯面の粗造化","知覚過敏の抑制","スミヤー層の除去","レジンの重合促進","b","小児歯科学"
"30 歳の女性。上顎右側中切歯と側切歯との補綴治療を希望して来院した。金属アレルギーの既往があるという。硬質レジンジャケットクラウンで修復することとした。術中と術後の口腔内写真を示す。 この築造法を選択した理由はどれか。1つ選べ。[106D15-ori]","二次齲蝕の予防","歯周組織の保護","歯冠形態の改善","ハプテン生成の阻止","クラウン適合性の向上","d","冠橋義歯学"
"8歳の女児。前歯部叢生を主訴として来院した。初診時の顔面写真(Ａ)、エックス線写真(Ｂ)及び口腔内写真(Ｃ)を示す。セファロ分析の結果を図に示す。 治療目標として適切なのはどれか。2つ選べ。[106D16-ori]","上顎骨の成長促進","下顎骨の成長抑制","上顎前歯の唇側傾斜","下顎前歯の舌側傾斜","上顎第一大臼歯の萌出誘導","15","歯科矯正学"
"34歳の女性。歯周治療後の再評価検査の結果、症状の改善がみられたため、3か月ごとのSPT〈supportiveperiodontal therapy〉に移行した。SPTで来院時の口腔内写真（A）とエックス線写真（B）とを示す。 歯周組織検査結果の一部を表に示す。適切な処置はどれか。2つ選べ。[106D17-ori]","PMTC","咬合調整","新付着術","抗菌薬の投与","ルートプレーニング","15","歯周病学"
"8歳の男児。上顎前歯の変色を主訴として来院した。初診時の口腔内写真を示す。 適切な対応はどれか。2つ選べ。[106D18-ori]","ブラッシング指導","エナメル質表層の削合研磨","フッ化ジアンミン銀溶液塗布","フッ化物溶液による洗口指導","グラスアイオノマーセメント修復","14","小児歯科学"
"65歳の男性。下顎左側臼歯部の疼痛を主訴として来院した。2週前から食事時に疼痛があるという。接触痛があり、易出血性である。舌側歯肉に異常はなく、所属リンパ節の腫脹を認めない。初診時の口腔内写真（A） 、エックス線写真（B）及び生検時のH-E染色病理組織像（C）を示す。 適切な治療法はどれか。1つ選べ。[106D19-ori]","搔爬術","⎾67の抜歯","歯肉切除術","下顎辺縁切除術","下顎区域切除術","d","口腔外科学"
"4歳の男児。反対咬合を主訴として来院した。初診時の口腔内写真(Ａ)とエックス線写真(Ｂ)とを示す。セファロ分析の結果の一部を図に示す。 正しい所見はどれか。2つ選べ。[106D20-ori]","上顎骨の劣成長","下顎下縁平面の急傾斜","マイナスのオーバーバイト","上顎左側中切歯の先天欠如","上顎左側乳側切歯の口蓋側転位","15","歯科矯正学"
"36 歳の男性。上顎右側側切歯と犬歯の歯内治療後に支台築造を行うこととした。処置中の口腔内写真(Ａ)と用いる器具の写真(Ｂ)とを示す。 この器具を用いる際に留意すべきなのはどれか。2つ選べ。[106D21-ori]","対合歯の動揺度","根管長の測定値","ポスト孔の平行性","隣在歯の歯冠形態","根管充塡後のエックス線写真所見","25","冠橋義歯学"
"28歳の男性。下顎右側部の腫脹を主訴として来院した。1年前から次第に増大してきたという。失活歯はなく、オトガイ神経麻痺を認めない。初診時のエックス線写真（A）、CT（B）及び生検時のH-E染色病理組織像（C）を示す。 まず行う処置はどれか。1つ選べ。[106D22-ori]","開窓術","摘出搔爬術","埋伏歯の抜去","下顎区域切除術","下顎右側第二大臼歯の抜去","a","口腔外科学"
"2歳3か月の女児。外傷を主訴として母親と来院した。昨日、公園で転倒し顔面を強打したが、出血はなく疼痛を訴えなかったという。初診時の口腔内写真(Ａ)とエックス線写真(Ｂ)とを示す。 上顎左側乳中切歯への適切な対応はどれか。1つ選べ。[106D23-ori]","経過観察","形態修正","生活歯髄切断","整復固定","再 植","a","小児歯科学"
"31歳の女性。臼歯部咬合面の舌感不良を主訴として来院した。2年前から気付いていたが、痛みがないため放置していたという。5年前から就寝前に黒酢を毎日摂取している。歯髄電気診に反応する。初診時の口腔内写真を示す。適切な対応はどれか。2つ選べ。[106D24-ori]","咬合調整","食事指導","全部鋳造冠修復","セラミックインレー修復","コンポジットレジン修復","25","保存修復学"
"75 歳の女性。義歯の新製を希望して来院した。1か月前に下顎前歯部ブリッジが脱離し、義歯が使用できなくなったという。全身疾患の既往歴はない。義歯を新製することとした。初診時の口腔内写真(A)とエックス線写真(B)とを示す。下顎義歯製作のための前処置として適切なのはどれか。2つ選べ。[106D25-ori]","小帯切除","歯槽堤形成","残根の抜歯","下顎隆起切除","義歯性線維腫切除","34","部分床義歯学"
"1歳6か月の女児。歯肉からの出血を母親が気にして来院した。1週前に発熱し、3日後に下がったが、2日前から歯肉が腫れ、痛みのためか食欲不振だという。舌に小水疱を認める。初診時の口腔内写真を示す。 母親への指導で適切なのはどれか。1つ選べ。[106D26-ori]","安 静","鼻呼吸の励行","水分摂取制限","フッ化物洗口","ブラッシングの励行","a","小児歯科学"
"25 歳の女性。下顎右側大臼歯部の腫脹を主訴として来院した。1か月前に気付いたという。右側顎下部に小指大の可動性リンパ節を触知する。初診時の口腔内写真(Ａ)、エックス線写真(Ｂ)及び生検時の H-E 染色病理組織像(Ｃ)を示す。 適切な対応はどれか。1つ選べ。[106D27-ori]","切開排膿術","摘出搔爬術","放射線治療","下顎辺縁切除術","下顎区域切除術と頸部郭清術","b","口腔外科学"
"65歳の男性。下顎右側第一大臼歯部の歯肉の違和感を主訴として来院した。2年前に近医で6⏋の近心根を分割抜去したという。歯周基本治療後に歯周外科治療を行うこととした。初診時の口腔内写真(A)とエックス線写真(B)とを示す。フラップ手術とともに行うのはどれか。2つ選べ。[106D28-ori]","骨移植","根尖切除","歯槽骨切除","結合組織移植","オドントプラスティー","15","歯周病学"
"18歳の女子。上顎左側側切歯の位置不正を主訴として来院した。マルチブラケット装置による治療を行うこととした。初診時の顔面写真(A)、口腔内写真(B)及び口腔模型の写真(C)を示す。セファロ分析の結果の一部を図に示す。マルチブラケット装置と併用する装置で適切なのはどれか。2つ選べ。[106D29-ori]","ヘッドギア","タングクリブ","クワドヘリックス","スライディングプレート","Nanceのホールディングアーチ","15","歯科矯正学"
"60 歳の女性。下顎左側臼歯部の疼痛を主訴として来院した。3か月前から同部に違和感があり、1週前から疼痛が徐々に増悪するとともに左側下唇の知覚鈍麻が生じてきたという。体温 37.0 ℃で、軽度の開口障害を認める。下顎左側臼歯部粘膜にわずかな発赤と腫脹とを認める。初診時の顔貌写真(Ａ)、エックス線写真(Ｂ)、CT(Ｃ)及び骨シンチグラム(Ｄ)を示す。 最も疑われるのはどれか。1つ選べ。[106D30-ori]","骨肉腫","急性骨膜炎","急性歯槽骨炎","線維性異形成症","慢性硬化性骨髄炎","e","歯科放射線学"
"42歳の女性。上顎右側中切歯の動揺を主訴として来院した。初診時の口腔内写真（A）とエックス線写真（B）とを示す。歯周組織検査結果の一部を表に示す。病態の増悪因子として考えられるのはどれか。2つ選べ。[106D31-ori]","口呼吸","外傷性咬合","形態不良修復物","狭い付着歯肉幅","小帯の付着異常","23","歯周病学"
"38 歳の男性。右側顎下部の違和感を主訴として来院した。3年前から食事時に右側顎下部の腫脹と疼痛とを繰り返していたという。口腔外から手術をすることとした。初診時のエックス線写真(Ａ)と CT(Ｂ)とを示す。 患者に術前に説明すべき合併症はどれか。2つ選べ。[106D32-ori]","閉眼不能","口笛不能","鼻唇溝の消失","舌の知覚異常","舌の運動障害","24","口腔外科学"
"40 歳の女性。下顎左側臼歯部のインプラント治療を希望して来院した。初診時の口腔内写真(Ａ)とエックス線写真(Ｂ)とを示す。 インプラント治療の計画にあたり考慮すべきなのはどれか。2つ選べ。[106D33-ori]","開口量","頰棚の形態","下顎孔の位置","頰小帯の付着位置","上顎左側臼歯部ブリッジの状態","15","インプラント"
"8歳の女児。歯並びが悪いことを主訴として来院した。舌側弧線装置を用いて矯正治療を行うこととした。初診時の咬頭嵌合位の口腔内写真(Ａ)、早期接触位の口腔内写真(Ｂ)及びエックス線写真(Ｃ)を示す。セファロ分析の結果を図に示す。 矯正治療の前処置で適切なのはどれか。1つ選べ。[106D34-ori]","上唇小帯の切除","埋伏過剰歯の抜去","上顎側切歯の開窓","下顎切歯の咬合調整","下顎切歯のストリッピング","b","歯科矯正学"
"36 歳の男性。歯の着色を主訴として来院した。初診時の口腔内写真を示す。 まず行うべき処置はどれか。1つ選べ。[106D35-ori]","PMTC","漂 白","レジンコーティング","コンポジットレジン修復","グラスアイオノマーセメント修復","a","保存修復学"
"28歳の女性。下顎左側第一大臼歯の違和感を主訴として来院した。歯周基本治療後の再評価検査の結果、⎾6にエナメルマトリックスタンパク質を応用した歯周組織再生療法を行うこととした。初診時のエックス線写真(A)と術中の口腔内写真(B)とを示す。歯周基本治療後の再評価検査結果の一部を表に示す。⎾6に歯周組織再生療法を選択した理由はどれか。1つ選べ。[106D36-ori]","水平性骨欠損","1壁性骨欠損","2壁性骨欠損","1壁・2壁混合性骨欠損","2壁・3壁混合性骨欠損","e","歯周病学"
"53 歳の女性。味覚障害を主訴として来院した。半年前から味覚低下を自覚するようになったという。舌背のカンジダ培養検査は陰性で唾液分泌量も正常であった。初診時の舌の写真を示す。血液学検査の結果を表に示す。 診断に必要な追加すべき検査項目はどれか。2つ選べ。[106D37-ori]","Zn","IgE","CRP","アミラーゼ","ビタミン B₁₂","15","口腔外科学"
"52歳の女性。左側上唇部の違和感を主訴として来院した。2年前から自覚していたという。上顎左側前歯部の歯肉唇移行部で弾性軟の病変を触知するが圧痛はない。初診時の口腔外写真(A)、口腔内写真(B)、MRI(C)及び試験穿刺時の写真(D)を示す。 適切な治療法はどれか。1つ選べ。[106D38-ori]","開窓術","搔爬術","摘出術","凍結外科","上顎骨部分切除術","c","口腔外科学"
"33 歳の女性。補綴処置を希望して来院した。旅行中に下顎右側第二小臼歯の補綴装置が突然脱離し、近医を受診したところ再装着は困難と説明されたという。初診時のエックス線写真(Ａ)と軟化象牙質除去後の口腔内写真(Ｂ)とを示す。 次に行うべき処置はどれか。2つ選べ。[106D39-ori]","支台築造","暫間補綴","歯冠延長","支台歯形成","感染根管治療","25","冠橋義歯学"
"17歳の女子。上顎中切歯部の違和感を主訴として来院した。1⏊1の根尖性歯周炎と診断し、歯内治療を行うこととした。初診時、処置直後および術後9か月のエックス線写真を示す。行ったのはどれか。2つ選べ。[106D40-ori]","意図的再植","逆根管充塡","歯根尖切除","穿孔部閉鎖","アペキシフィケーション","23","歯内療法学"
"64 歳の男性。食事中のむせを主訴として来院した。2年前に口底癌切除術、下顎辺縁切除術、両側根治的頸部郭清術および大胸筋皮弁による口底再建術を受けたという。初診時の口腔内写真(Ａ)、エックス線写真(Ｂ)、治療に用いた装置の写真(Ｃ)及び装置装着時の口腔内写真(Ｄ)を示す。 この装置を用いる目的はどれか。1つ選べ。[106D41-ori]","舌房の確保","嚥下反射の惹起","咬合支持の向上","食塊移送の改善","食道入口部の開大","d","口腔外科学"
"4歳の女児。上顎乳中切歯隣接面の着色を主訴として来院した。食物が歯間に挟まるという。初診時の口腔内写真(A)とエックス線写真(B)とを示す。 処置に用いるのはどれか。2つ選べ。[106D42-ori]","Tバンド","ウェッジ","クラウンフォーム","サービカルマトリックス","ポリエステル製ストリップス","25","小児歯科学"
"21歳の女性。下顎の突出と咀嚼障害とを主訴として来院した。外科的矯正治療を行うこととした。初診時の顔面写真(A)、口腔内写真(B)及びエックス線写真(C)を示す。セファロ分析の結果を図に示す。術前矯正治療で適切なのはどれか。1つ選べ。[106D43-ori]","a","b","c","d","e","a","歯科矯正学"
"60 歳の女性。口腔内の違和感を主訴として来院した。2年前から右側頰粘膜の違和感と灼熱感とを自覚し、両側の手足に発疹を生じるようになったという。初診時の口腔内写真(Ａ)と手足の写真(Ｂ)とを示す。 適切な検査はどれか。1つ選べ。[106D44-ori]","RF","CEA","針反応","パッチテスト","ツベルクリン反応","d","口腔外科学"
"47 歳の女性。下顎右側臼歯部の違和感を主訴として来院した。10 年前、近医で同部にブリッジによる処置を受けたが、半年前から動揺と咬合痛とがあり増悪してきたという。支台歯の保存の可否を診断するためブリッジの除去を行うこととした。初診時の口腔内写真(Ａ)とエックス線写真(Ｂ)とを示す。歯周組織検査結果の一部を表に示す。 最初に切断すべき部位はどれか。1つ選べ。[106D45-ori]","ア","イ","ウ","エ","オ","e","冠橋義歯学"
"3歳の男児。発音の不明瞭を主訴として来院した。鼻咽腔閉鎖機能不全を認める。初診時の口腔内写真を示す。 この疾患の特徴はどれか。2つ選べ。[106D46-ori]","後鼻孔の閉鎖","上唇小帯の異常","口蓋ヒダの消失","軟口蓋の透過帯","後鼻棘部の骨欠損","45","口腔外科学"
"3歳の男児。歯の変色を主訴として来院した。3か月前から徐々に生じてきたが、他に自覚症状はないという。初診時の口腔内写真(Ａ)とエックス線写真(Ｂ)とを示す。 まず行うべき処置はどれか。1つ選べ。[106D47-ori]","漂 白","コンポジットレジン修復","生活歯髄切断法","感染根管治療","抜 歯","d","小児歯科学"
"71歳の女性。家族から口の管理を依頼された。3か月前に脳卒中で片麻痺となり、1か月前から特別養護老人ホームに入居しているという。完全介助であるが、会話はできる。初診時の患者の写真(A)と義歯の写真(B)とを示す。 まず行うべき対応はどれか。2つ選べ。[106D48-ori]","義歯の新製","直接嚥下訓練","口腔清掃の実施","構音補助床の装着","義歯取扱いの指導","35","口腔衛生学"
"30歳の男性。左口角部の知覚異常のため星状神経節ブロックを行うこととした。 第6頸椎横突起の高さで1%リドカイン塩酸塩6mlを注入したところ、突然、全身けいれん発作を起こし意識を消失した。頸動脈で脈拍を触知する。チアノーゼを認める。 適切な処置はどれか。2つ選べ。[106D49-ori]","酸素投与","胸骨圧迫","ジアゼパムの静注","アドレナリンの静注","アミノフィリン水和物の静注","13","歯科麻酔学"
"67 歳の女性。上顎部分床義歯の新製を希望して来院した。義歯製作中のある過程の写真(Ａ、Ｂ)を示す。 写真 B の過程で確認するのはどれか。2つ選べ。[106D50-ori]","咀嚼能率","人工歯の色調","リップサポート","粘膜の被圧変位量","義歯床粘膜面の適合","23","部分床義歯学"
"67 歳の女性。上顎部分床義歯の新製を希望して来院した。義歯製作中のある過程の写真(Ａ、Ｂ)を示す。 この患者に付与する左側方滑走運動時の咬合接触部位(Ｃ)を示す。 正しいのはどれか。1つ選べ。[106D51-ori]","ア","イ","ウ","エ","オ","a","部分床義歯学"
"37歳の女性。下顎右側臼歯部の一過性の冷水痛を主訴として来院した。セラミックインレー修復を行うこととした。完成したインレー体の写真(A)と装着時に使用する器具の写真(B)とを示す。器具の使用順序で正しいのはどれか。1つ選べ。[106D52-ori]","","","","","","5","保存修復学"
"3歳児歯科健康診査において、齲蝕のある者200人と齲蝕のない者200人とについてフッ化物歯面塗布の経験を調べたところ、それぞれ25%と40%であった。 フッ化物歯面塗布経験の齲蝕に対するオッズ比を求めよ。 ただし、小数点以下の数値が得られた場合には、小数点以下第位を四捨五入すること。 解答： ① .②  [106D53-ori]","","","","","","5","疫学"
"国民の生涯にわたる歯科疾患の予防を主目的とする法律はどれか。1つ選べ。[107A1-ori]","地域保健法","健康増進法","歯科医師法","健康保険法","歯科口腔保健の推進に関する法律","e","口腔衛生学"
"多分化能を持ち受精卵から樹立されるのはどれか。1つ選べ。[107A2-ori]","生殖幹細胞","造血幹細胞","間葉系幹細胞","胚性幹細胞<ES細胞>","人工多能性幹細胞<iPS細胞>","d","生化学"
"歯肉炎と歯周炎に共通するのはどれか。1つ選べ。[107A3-ori]","歯肉退縮","歯の動揺","歯槽骨吸収","ポケット形成","アタッチメントロス","d","歯周病学"
"ガッタパーチャポイントにエックス線造影性を与える目的で添加されるのはどれか。1つ選べ。[107A4-ori]","レジン","ロジン","重金属塩","酸化亜鉛","ワックス","c","歯科理工学"
"医療事故で正しいのはどれか。1つ選べ。[107A5-ori]","歯科医師が死体検案書を交付する。","医療過誤は患者の過失によって発生する。","医療事故による死体は病死として扱われる。","医療事故の予防対策はハインリッヒの法則に基づく。","ヒヤリハット事例の分析の主目的は病院経営の改善である。","d","口腔衛生学"
"嚥下と強く関連する唾液の作用はどれか。1つ選べ。[107A6-ori]","緩衝作用","円滑作用","洗浄作用","再石灰化作用","水分平衡作用","b","口腔外科学高齢者"
"口唇部の集簇性小水疱形成を特徴とするのはどれか。1つ選べ。[107A7-ori]","手足口病","単純疱疹","類天疱瘡","尋常性天疱瘡","先天性表皮水疱症","b","口腔外科学"
"ABO式血液型を決定する抗原が存在するのはどれか。1つ選べ。[107A8-ori]","血小板","赤血球","好中球","好酸球","リンパ球","b","生化学"
"静脈血採取法で正しいのはどれか。1つ選べ。[107A9-ori]","採血時には駆血帯を外す。","手袋の装着は不要である。","穿刺は消毒用アルコールが乾いてから行う。","血液の逆流が少ない場合は陰圧を強くかけて引く。","血管が出にくいときは穿刺部位を心臓より高くする。","c","口腔外科学内科学"
"焦点・被写体間距離が最も長いのはどれか。1つ選べ。[107A10-ori]","CT","咬合法撮影","平行法撮影","パノラマエックス線撮影","頭部エックス線規格撮影","e","歯科放射線学"
"人間を対象とした医学研究における｢患者の自己決定権｣を定めた最初の国際規範はどれか。1つ選べ。[107A11-ori]","リスボン宣言","ジュネーブ宣言","ヘルシンキ宣言","ヒポクラテスの誓い","ニュルンベルグ綱領","削除問題","公衆衛生学"
"Ⅳ型過敏反応によるのはどれか。1つ選べ。[107A12-ori]","気管支喘息","糸球体腎炎","アナフィラキシー","アレルギー性接触皮膚炎","特発性血小板減少性紫斑病<ITP>","d","生化学微生物学"
"運動機能低下によって咀嚼障害を呈する疾患はどれか。1つ選べ。[107A13-ori]","腎炎","血友病","高血圧症","骨粗鬆症","Alzheimer病","e","口腔外科学内科学"
"クリニカルパスで作成されるのはどれか。1つ選べ。[107A14-ori]","診療録","同意書","医療事故報告書","診療スケジュール","インシデントレポート","d","公衆衛生学"
"高齢者の医療の確保に関する法律によって規定されている｢特定健康診査・特定保健指導｣について正しいのはどれか。1つ選べ。[107A15-ori]","都道府県が実施主体である。","対象年齢は65歳以上である。","特定健康診査に歯科検診が含まれる。","悪性新生物に対する予防を主目的とする。","特定保健指導には動機づけ支援と積極的支援がある。","e","口腔衛生学高齢者"
"歯列弓の模式図を示す。Eichnerの分類でB2に分類されるのはどれか。1つ選べ。[107A16-ori]","ア","イ","ウ","エ","オ","d","部分床義歯"
"心肺停止に陥った患者に AED を装着したところ｢ショックは不要です｣というアナウンスが流れた。次に行うべき対応はどれか。1つ選べ。[107A17-ori]","脈の確認","人工呼吸","胸骨圧迫","意識の確認","救急隊への連絡","c","口腔外科学内科学"
"歯科診療後に感染性一般廃棄物となるのはどれか。1つ選べ。[107A18-ori]","メス刃","抜去歯","縫合針","ラバーダムシート","ディスポーザブルシリンジ","b","疫学微生物学"
"被着面の前処理に関する組合せで正しいのはどれか。1つ選べ。[107A19-ori]","陶材 ー スズ電析処理","金属 ー プラズマ溶射処理","象牙質 ー シランカップリング剤塗布","ジルコニア ー サンドブラスト処理","エナメル質 ー イオウ含有モノマー塗布","d","歯科理工学冠橋義歯"
"下顎両側第一大臼歯の近心転位によって生じるのはどれか。1つ選べ。[107A20-ori]","開咬","切端咬合","交叉咬合","鞍状歯列弓","空隙歯列弓","d","歯科矯正学"
"エナメル質齲蝕で正しいのはどれか。1つ選べ。[107A21-ori]","裂隙の形成","漏斗状の拡大","不透明層の存在","齲蝕検知液での濃染","サイコロ状結晶への転化","c","保存修復学"
"自然免疫に関与するのはどれか。1つ選べ。[107A22-ori]","B細胞","NK細胞","形質細胞","ヘルパーT細胞","細胞傷害性T細胞","b","生化学"
"摂食・嚥下障害で起こりやすいのはどれか。1つ選べ。[107A23-ori]","脱水","息切れ","めまい","けいれん","血圧上昇","a","口腔外科学"
"上顎で成長に伴って骨吸収するのはどれか。1つ選べ。[107A24-ori]","鼻腔底","上顎結節","頰骨上顎縫合部","正中口蓋縫合部","歯槽突起口蓋側面","a","小児歯科学解剖学"
"舌を前方に突出させるのはどれか。1つ選べ。[107A25-ori]","舌骨舌筋","茎突舌筋","垂直舌筋","口蓋舌筋","オトガイ舌筋","e","解剖学"
"6歳の男児。下顎の突出を主訴として来院した。患児の母親に｢血縁者でお子さんと同じような顔立ちの方はいらっしゃいますか｣と尋ねた。聴取しているのはどれか。1つ選べ。[107A26-ori]","現症","現病歴","社会歴","既往歴","家族歴","e","口腔衛生学歯科矯正学"
"出生時に歯胚形成が開始されるのはどれか。1つ選べ。[107A27-ori]","中切歯","乳中切歯","第一小臼歯","第一大臼歯","第一乳臼歯","c","小児歯科学"
"下顎切歯点の矢状面内運動路の模式図を示す。終末蝶番運動路はどれか。1つ選べ。[107A28-ori]","ア","イ","ウ","エ","オ","b","冠橋義歯全部床義歯"
"高齢者で介護が必要となる原因疾患で最も多いのはどれか。1つ選べ。[107A29-ori]","肝硬変","糖尿病","心筋梗塞","悪性腫瘍","脳血管疾患","e","高齢者"
"機能獲得に学習が必須なのはどれか。1つ選べ。[107A30-ori]","呼吸","吸啜","咀嚼","嚥下","嘔吐","c","小児歯科学"
"象牙質・歯髄複合体の老化で増加するのはどれか。1つ選べ。[107A31-ori]","石灰変性の量","歯髄細胞の数","歯髄腔の容積","根尖孔の大きさ","象牙細管の直径","a","保存修復学組織学"
"周波条に関連するのはどれか。1つ選べ。[107A32-ori]","オーエン外形線","レッチウス線条","トームスの顆粒層","シュレーゲル線条","アンドレーゼン線条","b","解剖学組織学"
"検体検査法と目的との組合せで正しいのはどれか。1つ選べ。[107A33-ori]","比色法 ー 溶液体積の測定","ノーザンブロット法 ー 抗原タンパク質の定量","ウエスタンブロット法 ー RNAの検出","in situハイブリダイゼーション法 ― アミノ酸配列の決定","Polymerase Chain Reaction<PCR>法 ー DNAの増幅","e","生化学"
"Malgaigne圧痛がみられるのはどれか。1つ選べ。[107A34-ori]","膿瘍","骨折","唾石症","三叉神経痛","リンパ節炎","b","口腔外科学"
"老化に伴って低下するのはどれか。1つ選べ。[107A35-ori]","食後血糖","収縮期血圧","末梢血管抵抗","動脈圧受容器反射機能","血清総コレステロール","d","高齢者内科学"
"摂食・嚥下障害患者の社会参加に向けた代償的アプローチはどれか。 1つ選べ。[107A36-ori]","喀出力向上","咀嚼機能改善","食形態の選択","嚥下機能改善","原因疾患の治療","c","口腔衛生学"
"母乳を介して感染するのはどれか。 1 つ選べ。[107A37-ori]","風疹ウイルス","B 型肝炎ウイルス","単純ヘルペスウイルス","ヒトパピローマウイルス","ヒト T 細胞白血病ウイルス","b","微生物学"
"半調節性咬合器の調節機構の写真を示す。正しい組合せはどれか。 1 つ選べ。[107A38-ori]","a","b","c","d","e","a","全部床義歯学"
"Hellman の歯齢ⅡA 期の小児。下顎左側第一乳臼歯を抜去し、クラウンループを製作することとした。既製乳歯冠の写真を示す。 使用する乳歯冠で正しいのはどれか。 1 つ選べ。[107A39-ori]","ア","イ","ウ","エ","オ","b","小児歯科学"
"最も融解温度が低い鋳造用合金はどれか。 1 つ選べ。[107A40-ori]","タイプ 1 金合金","陶材焼付用金合金","金銀パラジウム合金","コバルトクロム合金","銀インジウム亜鉛合金","e","歯科理工学"
"味覚の一次ニューロンの細胞体が存在するのはどれか。 1 つ選べ。[107A41-ori]","耳神経節","膝神経節","顎下神経節","三叉神経節","翼口蓋神経節","b","生理学"
"鋳造直後の MOD インレー体内面の写真を示す。 矢印の欠陥を防止する方法はどれか。 1 つ選べ。[107A42-ori]","鋳造圧を高くする。","湯だまりを付与する。","フラックスを使用する。","鋳型の急加熱を避ける。","通気性の高い埋没材を使用する。","d","歯科理工学"
"各口腔細菌の性質を表に示す。①から⑤は、｢グルカン合成｣、｢歯面への付着｣、｢キシリトールの利用｣、｢スクロースからの酸産生｣および｢小窩裂溝齲蝕中からの分離｣のいずれかである。「グルカン合成」はどれか。 1 つ選べ。[107A43-ori]","①","②","③","④","⑤","b","微生物学"
"ある疾患の有無についての検査結果と最終診断の関係を表に示す。 この検査の敏感度と特異度との組合せで正しいのはどれか。 1つ選べ。[107A44-ori]","a","b","c","d","e","e","疫学"
"エックス線写真を示す。 咽頭扁桃はどれか。 1つ選べ。[107A45-ori]","ア","イ","ウ","エ","オ","a","歯科放射線学"
"全身麻酔で用いる器具の写真を示す。 矢印が示す部分の挿入部位で正しいのはどれか。 1つ選べ。[107A46-ori]","食道","気管","口腔底","後鼻孔","喉頭蓋谷","e","歯科麻酔学"
